Depth,DENB,GRDE,CADE                    
47.600,2.480,137.460,106.000,
47.700,2.500,99.810,105.990,
47.800,2.470,129.900,105.980,
47.900,2.430,131.550,105.960,
48.000,2.420,122.830,105.960,
48.100,2.400,111.980,105.990,
48.200,2.390,122.170,106.010,
48.300,2.420,145.850,106.000,
48.400,2.430,142.890,106.010,
48.500,2.410,151.110,106.050,
48.600,2.390,144.370,106.130,
48.700,2.400,120.530,106.190,
48.800,2.420,102.110,106.240,
48.900,2.420,126.120,106.250,
49.000,2.410,128.750,106.250,
49.100,2.410,125.630,106.230,
49.200,2.420,120.860,106.120,
49.300,2.420,105.070,106.040,
49.400,2.420,98.490,105.950,
49.500,2.410,139.110,105.910,
49.600,2.400,126.940,105.860,
49.700,2.390,140.420,105.760,
49.800,2.380,112.140,105.600,
49.900,2.400,152.100,105.270,
50.000,2.420,153.580,104.960,
50.100,2.440,151.280,104.760,
50.200,2.450,104.580,104.740,
50.300,2.480,118.720,104.770,
50.400,2.500,109.350,104.770,
50.500,2.480,111.480,104.770,
50.600,2.440,113.130,104.830,
50.700,2.410,116.090,105.200,
50.800,2.440,123.490,105.690,
50.900,2.470,102.440,106.530,
51.000,2.490,97.180,107.210,
51.100,2.480,131.710,107.390,
51.200,2.460,150.620,107.040,
51.300,2.460,142.560,107.110,
51.400,2.430,123.160,107.440,
51.500,2.420,120.860,107.300,
51.600,2.420,134.500,106.500,
51.700,2.440,133.850,105.690,
51.800,2.440,134.010,105.310,
51.900,2.440,133.520,105.010,
52.000,2.440,127.600,104.880,
52.100,2.440,107.700,104.850,
52.200,2.440,98.660,104.850,
52.300,2.430,116.250,104.830,
52.400,2.420,128.750,104.830,
52.500,2.420,143.220,104.810,
52.600,2.430,178.240,104.790,
52.700,2.430,120.860,104.790,
52.800,2.430,136.310,104.790,
52.900,2.440,162.620,104.850,
53.000,2.450,157.690,104.870,
53.100,2.450,97.840,104.890,
53.200,2.430,169.040,104.860,
53.300,2.420,116.250,104.830,
53.400,2.440,150.290,104.850,
53.500,2.440,116.090,104.870,
53.600,2.450,123.320,104.990,
53.700,2.450,117.400,105.310,
53.800,2.450,107.540,105.680,
53.900,2.460,101.290,105.960,
54.000,2.470,104.740,106.010,
54.100,2.470,112.960,106.000,
54.200,2.470,100.960,106.010,
54.300,2.460,108.360,106.000,
54.400,2.470,91.260,105.990,
54.500,2.470,116.750,105.960,
54.600,2.470,109.350,105.920,
54.700,2.460,99.320,105.830,
54.800,2.460,139.110,105.760,
54.900,2.460,126.450,105.670,
55.000,2.470,147.820,105.390,
55.100,2.480,140.590,105.100,
55.200,2.490,129.240,104.820,
55.300,2.490,146.670,104.780,
55.400,2.480,117.400,104.760,
55.500,2.480,143.880,104.770,
55.600,2.480,136.970,104.760,
55.700,2.470,143.710,104.800,
55.800,2.460,155.880,104.760,
55.900,2.440,159.330,104.800,
56.000,2.430,122.010,104.760,
56.100,2.430,136.810,104.780,
56.200,2.430,176.110,104.750,
56.300,2.430,129.570,104.790,
56.400,2.460,146.840,104.770,
56.500,2.470,110.830,104.760,
56.600,2.480,123.320,104.740,
56.700,2.470,130.070,104.760,
56.800,2.470,101.780,104.780,
56.900,2.470,125.300,104.790,
57.000,2.470,106.220,104.770,
57.100,2.470,108.690,104.750,
57.200,2.440,126.940,104.750,
57.300,2.400,116.750,104.760,
57.400,2.390,104.740,104.790,
57.500,2.410,125.790,104.780,
57.600,2.450,148.320,104.780,
57.700,2.450,90.600,104.710,
57.800,2.450,109.020,104.730,
57.900,2.440,121.510,104.830,
58.000,2.430,108.030,105.080,
58.100,2.440,156.700,105.050,
58.200,2.450,95.860,104.960,
58.300,2.460,153.250,104.780,
58.400,2.460,99.810,104.790,
58.500,2.450,97.840,104.770,
58.600,2.430,129.080,104.770,
58.700,2.430,115.760,104.760,
58.800,2.440,134.010,104.790,
58.900,2.460,93.560,104.780,
59.000,2.470,151.930,104.800,
59.100,2.460,167.720,104.760,
59.200,2.440,124.150,104.770,
59.300,2.440,127.430,104.760,
59.400,2.440,114.280,104.770,
59.500,2.440,125.630,104.770,
59.600,2.430,130.070,104.770,
59.700,2.430,146.180,104.770,
59.800,2.430,108.850,104.770,
59.900,2.450,114.940,104.770,
60.000,2.470,134.340,104.770,
60.100,2.480,124.310,104.770,
60.200,2.470,136.970,104.770,
60.300,2.470,128.750,104.770,
60.400,2.460,144.210,104.780,
60.500,2.470,115.920,104.800,
60.600,2.480,135.660,104.810,
60.700,2.490,136.970,104.790,
60.800,2.490,129.740,104.870,
60.900,2.490,108.200,105.360,
61.000,2.480,130.560,106.320,
61.100,2.480,112.310,107.060,
61.200,2.470,105.570,106.990,
61.300,2.470,116.750,106.430,
61.400,2.480,103.430,105.910,
61.500,2.490,111.480,105.550,
61.600,2.490,102.280,105.150,
61.700,2.480,122.670,104.830,
61.800,2.480,108.030,104.750,
61.900,2.480,119.870,104.730,
62.000,2.480,135.160,104.740,
62.100,2.490,115.760,104.760,
62.200,2.480,110.990,104.780,
62.300,2.480,102.610,104.750,
62.400,2.460,104.910,104.750,
62.500,2.470,134.500,104.750,
62.600,2.460,132.860,104.760,
62.700,2.460,87.810,104.760,
62.800,2.450,141.900,104.750,
62.900,2.440,150.950,104.780,
63.000,2.430,153.410,104.760,
63.100,2.430,136.810,104.770,
63.200,2.440,111.980,104.770,
63.300,2.460,149.140,104.770,
63.400,2.470,126.120,104.770,
63.500,2.460,100.960,104.740,
63.600,2.450,109.020,104.620,
63.700,2.450,105.070,104.240,
63.800,2.470,114.280,103.850,
63.900,2.470,107.210,103.520,
64.000,2.460,94.050,103.240,
64.100,2.430,110.660,102.860,
64.200,2.440,97.510,102.460,
64.300,2.490,72.350,102.290,
64.400,2.560,90.600,102.270,
64.500,2.600,76.130,102.320,
64.600,2.590,103.590,102.360,
64.700,2.580,90.930,102.670,
64.800,2.550,106.880,103.320,
64.900,2.520,109.840,104.110,
65.000,2.470,130.390,104.630,
65.100,2.440,75.150,104.770,
65.200,2.410,99.650,104.770,
65.300,2.430,100.630,104.760,
65.400,2.430,132.700,104.770,
65.500,2.450,100.470,104.760,
65.600,2.420,127.430,104.850,
65.700,2.390,91.100,105.220,
65.800,2.370,118.060,105.520,
65.900,2.380,87.480,105.750,
66.000,2.420,82.540,105.700,
66.100,2.440,106.060,105.720,
66.200,2.440,110.830,105.710,
66.300,2.430,123.650,105.740,
66.400,2.430,94.710,105.730,
66.500,2.440,68.570,105.710,
66.600,2.450,99.970,105.430,
66.700,2.450,88.630,105.110,
66.800,2.450,107.040,104.750,
66.900,2.450,88.140,104.340,
67.000,2.450,124.970,104.050,
67.100,2.440,98.820,103.790,
67.200,2.440,91.590,103.810,
67.300,2.460,141.580,103.760,
67.400,2.470,124.970,103.740,
67.500,2.460,145.190,103.750,
67.600,2.440,130.560,103.780,
67.700,2.430,156.370,103.770,
67.800,2.430,149.800,103.740,
67.900,2.440,147.330,103.760,
68.000,2.470,128.420,103.760,
68.100,2.470,126.610,103.770,
68.200,2.490,143.380,103.710,
68.300,2.490,117.900,103.680,
68.400,2.500,150.450,103.640,
68.500,2.500,164.600,103.620,
68.600,2.490,113.790,103.620,
68.700,2.480,131.220,103.590,
68.800,2.460,97.340,103.610,
68.900,2.460,86.820,103.640,
69.000,2.460,119.380,103.680,
69.100,2.460,122.500,103.720,
69.200,2.470,94.220,103.940,
69.300,2.470,114.280,104.280,
69.400,2.470,132.700,104.590,
69.500,2.440,120.200,104.690,
69.600,2.430,117.080,104.440,
69.700,2.420,103.430,104.030,
69.800,2.440,131.380,103.670,
69.900,2.450,91.420,103.530,
70.000,2.460,123.980,103.510,
70.100,2.450,104.250,103.350,
70.200,2.430,80.080,102.960,
70.300,2.410,84.190,102.570,
70.400,2.420,111.810,102.300,
70.500,2.450,142.560,102.310,
70.600,2.470,139.440,102.270,
70.700,2.460,117.400,102.300,
70.800,2.450,127.930,102.520,
70.900,2.490,124.310,103.200,
71.000,2.520,121.020,103.970,
71.100,2.520,85.010,104.400,
71.200,2.490,131.870,104.280,
71.300,2.460,104.580,104.290,
