Depth,DENB,GRDE,CADE                    
59.3,2.44,127.43,104.76
59.4,2.44,114.28,104.77
59.5,2.44,125.63,104.77
59.6,2.43,130.07,104.77
59.7,2.43,146.18,104.77
59.8,2.43,108.85,104.77
59.9,2.45,114.94,104.77
60,2.47,134.34,104.77
60.1,2.48,124.31,104.77
60.2,2.47,136.97,104.77
60.3,2.47,128.75,104.77
60.4,2.46,144.21,104.78
60.5,2.47,115.92,104.8
60.6,2.48,135.66,104.81
60.7,2.49,136.97,104.79
60.8,2.49,129.74,104.87
60.9,2.49,108.2,105.36
61,2.48,130.56,106.32
61.1,2.48,112.31,107.06
61.2,2.47,105.57,106.99
61.3,2.47,116.75,106.43
61.4,2.48,103.43,105.91
61.5,2.49,111.48,105.55
61.6,2.49,102.28,105.15
61.7,2.48,122.67,104.83
61.8,2.48,108.03,104.75
61.9,2.48,119.87,104.73
62,2.48,135.16,104.74
62.1,2.49,115.76,104.76
62.2,2.48,110.99,104.78
62.3,2.48,102.61,104.75
62.4,2.46,104.91,104.75
62.5,2.47,134.5,104.75
62.6,2.46,132.86,104.76
62.7,2.46,87.81,104.76
62.8,2.45,141.9,104.75
62.9,2.44,150.95,104.78
63,2.43,153.41,104.76
63.1,2.43,136.81,104.77
63.2,2.44,111.98,104.77
63.3,2.46,149.14,104.77
63.4,2.47,126.12,104.77
63.5,2.46,100.96,104.74
63.6,2.45,109.02,104.62
63.7,2.45,105.07,104.24
63.8,2.47,114.28,103.85
63.9,2.47,107.21,103.52
64,2.46,94.05,103.24
64.1,2.43,110.66,102.86
64.2,2.44,97.51,102.46
64.3,2.49,72.35,102.29
64.4,2.56,90.6,102.27
64.5,2.6,76.13,102.32
64.6,2.59,103.59,102.36
64.7,2.58,90.93,102.67
64.8,2.55,106.88,103.32
64.9,2.52,109.84,104.11
65,2.47,130.39,104.63
65.1,2.44,75.15,104.77
65.2,2.41,99.65,104.77
65.3,2.43,100.63,104.76
65.4,2.43,132.7,104.77
65.5,2.45,100.47,104.76
65.6,2.42,127.43,104.85
65.7,2.39,91.1,105.22
65.8,2.37,118.06,105.52
65.9,2.38,87.48,105.75
66,2.42,82.54,105.7
66.1,2.44,106.06,105.72
66.2,2.44,110.83,105.71
66.3,2.43,123.65,105.74
66.4,2.43,94.71,105.73
66.5,2.44,68.57,105.71
66.6,2.45,99.97,105.43
66.7,2.45,88.63,105.11
66.8,2.45,107.04,104.75
66.9,2.45,88.14,104.34
67,2.45,124.97,104.05
67.1,2.44,98.82,103.79
67.2,2.44,91.59,103.81
67.3,2.46,141.58,103.76
67.4,2.47,124.97,103.74
67.5,2.46,145.19,103.75
67.6,2.44,130.56,103.78
67.7,2.43,156.37,103.77
67.8,2.43,149.8,103.74
67.9,2.44,147.33,103.76
68,2.47,128.42,103.76
68.1,2.47,126.61,103.77
68.2,2.49,143.38,103.71
68.3,2.49,117.9,103.68
68.4,2.5,150.45,103.64
68.5,2.5,164.6,103.62
68.6,2.49,113.79,103.62
68.7,2.48,131.22,103.59
68.8,2.46,97.34,103.61
